gtstation_name,ellipsoidheight,ORIGIN,STATUS,longitude,latitude,state,gdc_username
BARADEVI  H.S,2029.7684,,NOT SHIFTED,76.885,31.193,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
BAROL  H.S.,434.1134,,NOT SHIFTED,76.456,31.051,Punjab,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
DARANG  H.S,1227.8576,,NOT SHIFTED,76.944,31.81,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
BHARAIN  H.S,2421.6048,,NOT SHIFTED,77.15,31.924,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
RANTHARI H.S,2566.7357,,NOT SHIFTED,77.768,31.225,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
JHUNGI H.S,2024.2904,,NOT SHIFTED,77.081,31.423,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
MANUN H.S,2539.1497,,NOT SHIFTED,77.262,31.056,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
TRILOKNATH H.S,3863.7131,,NOT SHIFTED,76.68,32.668,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
MALLA  H.S,2146.5472,,NOT SHIFTED,76.01,32.726,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
HOLI H.S,2448.0968,,NOT SHIFTED,76.554,32.312,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
SAKLU H.S,3103.6924,,NOT SHIFTED,76.819,32.088,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
LIPIYANA  H.S,845.8812,,NOT SHIFTED,76.154,32.148,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
SOLANG H.S,3019.6106,,NOT SHIFTED,77.164,32.334,Himachal Pradesh,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
