gtstation_name,ellipsoidheight,ORIGIN,STATUS,longitude,latitude,state,gdc_username
AHIRMAL H.S.,549.228,,SHIFTED,76.06922253,19.55516689,Maharashtra,Maharashtra and Goa Geo-spatial Directorate
PATHRUD S.,370.0501,,NOT SHIFTED,76.192,19.113,Maharashtra,Maharashtra and Goa Geo-spatial Directorate
AMDURA H.S.,320.3419,,SHIFTED AND DOUBTFULL,77.43119774,19.12511278,Maharashtra,Maharashtra and Goa Geo-spatial Directorate
APPARAOPET h.s.,363.0105,,NOT SHIFTED,78.167,19.246,Maharashtra,Maharashtra and Goa Geo-spatial Directorate
BANNAPUR H.S.,461.9702,,SHIFTED,78.52898179,19.12707247,Telangana,AndhraPradesh &Telangana Geo-spatial Directorate
ANKORA H.S.,375.911,,NOT SHIFTED,79.606,19.41,Telangana,AndhraPradesh &Telangana Geo-spatial Directorate
ICHAPUR H.S.,91.304,,NOT SHIFTED,84.675,19.104,Andhra Pradesh,AndhraPradesh &Telangana Geo-spatial Directorate
BOLAS  h.s,-5.216,,NOT SHIFTED,70.493,20.946,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
DANGARVADI  H.S,-29.7533,,NOT SHIFTED,70.934,20.718,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
PILVA  H.S.,550.4448,,NOT SHIFTED,73.392,20.649,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
SAROLA   H.S.,661.696,,NOT SHIFTED,75.723,20.386,Maharashtra,Maharashtra and Goa Geo-spatial Directorate
KAREGAON NEW H.S,310.142,,NOT SHIFTED,76.729,20.568,Maharashtra,Maharashtra and Goa Geo-spatial Directorate
BADGAON  H.S,278.451,,NOT SHIFTED,77.608,20.74,Maharashtra,Maharashtra and Goa Geo-spatial Directorate
RAJULI  H.S.,260.393,,NOT SHIFTED,79.746,20.216,Maharashtra,Maharashtra and Goa Geo-spatial Directorate
DHAS  H.S.,430.089,,NOT SHIFTED,80.356,20.846,Maharashtra,Maharashtra and Goa Geo-spatial Directorate
DHUBA BAHALI     S.,69.59,,NOT SHIFTED,83.885,20.843,Odisha,Odisha & Chhattishgarh Geo-spatial Directorate
DAK BHALUCHUVA,125.419,,NOT SHIFTED,84.28,20.08,Odisha,Odisha & Chhattishgarh Geo-spatial Directorate
BARNAI   H.S,243.45,,NOT SHIFTED,85.651,20.16,Odisha,Odisha & Chhattishgarh Geo-spatial Directorate
NIMIDA  H.S.,254.228,,NOT SHIFTED,85.35,20.77,Odisha,Odisha & Chhattishgarh Geo-spatial Directorate
MADHAVPUR  H.S,-31.7142,,NOT SHIFTED,69.974,21.268,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
OSHAM  h.s,258.3525,,NOT SHIFTED,70.276,21.638,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
SHAKHPUR  h.s,9.6692,,SHIFTED AND DOUBTFULL,71.51483751,21.55628625,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
CHAMARDIA  h.s,50.4103,,NOT SHIFTED,71.917,21.825,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
GHOGHA  S.,-43.5301,,NOT SHIFTED,72.271,21.677,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
SAGBAR  H.S,537.382,,NOT SHIFTED,73.783,21.574,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
TARBHAN  S.,-19.9764,,SHIFTED AND DOUBTFULL,73.06313958,21.01015577,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
BAWANGAJA  H.S,585.842,,SHIFTED AND DOUBTFULL,74.85327209,21.99036312,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
EKLARA  H.S.,201.771,,NOT SHIFTED,76.294,21.323,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
REWAPUR   H.S.,226.704,,NOT SHIFTED,76.73,21.049,Maharashtra,Maharashtra and Goa Geo-spatial Directorate
DHAR   H.S.,1055.412,,NOT SHIFTED,77.562,21.477,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
MALEGAON  H.S.,428.979,,NOT SHIFTED,78.306,21.092,Maharashtra,Maharashtra and Goa Geo-spatial Directorate
BHJIADAND   H.S.,452.803,,NOT SHIFTED,79.929,21.664,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
SITAPAR  H.S.,315.175,,NOT SHIFTED,80.322,21.415,Maharashtra,Maharashtra and Goa Geo-spatial Directorate
SILIGHAT    H.S.,284.39,,NOT SHIFTED,82.292,21.422,Chhattishgarh,Odisha & Chhattishgarh Geo-spatial Directorate
BELAPAHAR  H.S.,382.9265,,NOT SHIFTED,83.861,21.848,Odisha,Odisha & Chhattishgarh Geo-spatial Directorate
GANDHI MINAR  S.,211.67,,SHIFTED AND DOUBTFULL,83.88833177,21.54415375,Odisha,Odisha & Chhattishgarh Geo-spatial Directorate
KIMHIRA  H.S.,119.13,,NOT SHIFTED,86.643,21.66,Odisha,Odisha & Chhattishgarh Geo-spatial Directorate
MORDHO  H.S.,-38.9752,,NOT SHIFTED,68.943,22.984,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
PATELKA  H.S,38.0024,,NOT SHIFTED,69.402,22.058,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
HADATODA  H.S,-2.4932,,NOT SHIFTED,70.429,22.642,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
KAMAKIAMATA  H.S,116.2528,,NOT SHIFTED,71.543,22.204,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
MITLI   H.S.,-31.0262,,NOT SHIFTED,72.383,22.424,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
SITEPUR  S.,-8.4596,,NOT SHIFTED,73.483,22.071,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
RICHHIA  H.S.,106.8029,,NOT SHIFTED,73.615,22.702,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
MEHWASA  H.S,363.74,,NOT SHIFTED,74.62,22.917,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
SONTI  H.S.,748.98,,NOT SHIFTED,82.369,22.224,Chhattishgarh,Odisha & Chhattishgarh Geo-spatial Directorate
